rank,player,time
284,MC_Vince8,48.619
285,lb.auguste,48.632
286,MR_DUCT1,48.655
287,dart5151,48.657
288,"DNL
BiddyTheVamp",48.699
289,TheeBauss,48.708
290,Arci_-,48.729
291,NatBone,48.732
292,TwoChangzzz,48.762
293,"XRTRV
MrLankyBoy",48.767
294,mi7chgo,48.778
295,Damien_One,48.845
296,tufakintinakin,48.849
297,CrazyKiller6986,48.908
298,Azanhof9961,48.949
299,"PORGY
PoetryStud",48.982
300,"HS
UnknownMania",48.999
301,Asuvent,49.019
302,eneugh.,49.037
303,Kkillerz12,49.042
304,Auxert,49.068
305,"VIBE
Majorpainkid",49.079
306,Yacob_Shtedil,49.088
307,"PA
Tyreekie",49.102
308,"CRS
ItsAsh.btw",49.135
309,Tigercat2532,49.152
310,Sarusi7,49.165
311,"CRS
oCybex",49.213
312,mamarooo,49.258
313,"TPHR
Sachri_PCP",49.306
314,"ORJUC
Oj_Orange_Juice",49.306
315,agoru34,49.318
316,SirOllie,49.319
317,king_dova,49.336
318,PycoID,49.375
319,max0z08,49.396
320,matt123rubin,49.418
321,Radcool125,49.445
322,"AN
Paulox03",49.452
323,"NUKEY
RioluSlowMoTM",49.458
324,Xenk800,49.498
325,"JOOSH
TTV_R3alKav0",49.504
326,CarterRizzes,49.515
327,"VIBE
DeadKiiller",49.523
328,spedrunner7173,49.524
329,tavo1086,49.528
330,Gyrophax,49.533
331,Irby2020,49.547
332,Zinthrxos,49.554
333,ackabob,49.562
334,Chillvibezbro,49.575
335,Acdwilburn,49.578
336,King_Jowa,49.584
337,Abandonedcub,49.63
338,timgoin44,49.634
339,Syctis,49.642
340,Yabba69,49.649
341,"RISK
BateKush77",49.666
342,Chronocube,49.672
343,"~PHX~
molecore",49.704
344,Miekole,49.744
345,"CMAN
psylure",49.773
346,ostblockpaule,49.776
347,BCE111,49.779
348,"RISK
Zen3.14",49.793
349,Blue3robin,49.798
350,Deltq70,49.809
351,"UWU
YutoOwO",49.835
352,knowabee23,49.843
353,Moggles1,49.844
354,Bono_My_Tyres_,49.853
355,mhpinhead,49.887
356,"VIBE
xd_KnightOT",49.905
357,Celsis7,49.909
358,Crane.Operator,49.918
359,Czaxex,49.923
360,ManofSteel364,49.931
361,FishinBro,49.943
362,snoozinonya,49.949
363,"VIBE
Joey_Mousepad_",49.998
364,"🌐🏆
Turftoes",49.999
365,"VIBE
IDeyI",50.009
366,Thinkmen0w,50.044
367,darthpenguTM,50.062
368,"VIBE
BigMattandFries",50.076
369,Letekaka,50.084
370,EaglesLund,50.088
371,"VIBE
TheJecob101",50.138
372,YrsStorm,50.172
373,MadlyCactus,50.204
374,Joerknapp,50.227
375,"VIBE
brvsirrobin",50.285
376,NewFlyer733,50.304
377,leolol16,50.309
378,davethetaco69,50.314
379,Ninjaboyyo,50.322
380,"VIBE
Twr0z",50.398
381,Kami--sama,50.403
382,CREEPERMAN08575,50.414
383,CaptLancelot,50.418
384,DogbertBH,50.419
385,Ech0men,50.425
386,kelso123221,50.434
387,FreshTomato_,50.445
388,MapleTM,50.452
389,oltenplayer3004,50.454
390,JustAnotherFPS,50.469
391,cromb898,50.479
392,SlayozrG,50.494
393,FuryXio,50.508
394,"HKTC
MysteriousHiggs",50.534
395,ZootMcSchmoove,50.539
396,"EISH
lostpebble",50.588
397,"HKTC
gibsonfan06",50.589
398,frunke3,50.67
399,"SPED
Casp3rr-",50.693
400,TheBlitz501st,50.704
401,JvmpiTM,50.742
402,Tuvok2113,50.745
403,BHONWAL,50.748
404,CapnQueso,50.775
405,tartan_racer,50.825
406,voteroreal,50.849
407,sjaumst,50.853
408,Moguete,50.865
409,"MOON
ArveenS27",50.874
410,junipurr666,50.934
411,reppirgnob,50.952
412,o0OcolemanO0o,50.997
413,PraisedCarrot70,51.029
414,Manning53,51.035
415,MaestroMaelstro,51.037
416,Thegoatt99,51.069
417,"AAAAA
BeatsByRedline",51.082
418,"VIBE
Wesleym63",51.1
419,ugKiNGTM,51.107
420,DeathSlayer1205,51.132
421,Santaman1011,51.144
422,Braydenyen,51.161
423,"ЯŐŌ乌Ŧ
DevinTheDestro",51.259
424,"KKS
MainFrameTM",51.262
425,"VIBE
teretofae6",51.268
426,Tactive2012,51.294
427,adanylick,51.305
428,Braedenb1,51.357
429,PibblyShrimpu,51.399
430,The__Y_E_T_I,51.408
431,"VIBE
SoapySam24",51.409
432,ajb001,51.444
433,corruptron,51.522
434,DonalBaker,51.566
435,"VIBE
Octagonal_Echo",51.589
436,"VIBE
ResinatedSpy229",51.594
437,MaxCherryBlaze,51.688
438,wilderplain,51.689
439,EP_82,51.697
440,CanineFiber3647,51.702
441,Moriarti_TM,51.77
442,BJB-08J,51.845
443,Bonifatiuz,51.859
444,youdunyew,51.872
445,NIGHTMAN2443,51.876
446,iamonfire1983,51.912
447,yodgy,51.938
448,BLUE_SHELDON,51.988
449,ImJraldo,52.082
450,BlazenBro,52.088
451,domination12233,52.097
452,PaPaOx2,52.139
453,Biff_dude,52.154
454,"NEPA
Pwnbeaver",52.192
455,Kaasmanneke,52.207
456,"NINJA
Ninjaadrian009",52.242
457,gege31255,52.259
458,Skibidibop53,52.294
459,t20i9m13_,52.318
460,PostaLG0d,52.334
461,"=D
Nothinbutrock",52.381
462,T0onEy_C00NeY,52.404
463,Disco_Noodles,52.429
464,TheOneCaprisun,52.507
465,"VIBE
ManOfManyBrides",52.539
466,gleaminn,52.568
467,Aar0nex,52.597
468,STRAIGHTupD0PE,52.618
469,Jacobithekid,52.672
470,"VIBE
Desolisk",52.688
471,djflaherty26,52.689
472,ZyphenDZN,52.695
473,"VIBE
Cube_Racer",52.711
474,SoccerMan9152,52.74
475,SilencedSun4852,52.743
476,Jolf_TM,52.762
477,GIGELFTW,52.766
478,Fierykechtup520,52.782
479,"VIBE
papa_spectre",52.798
480,FAFO_TM,52.817
481,yrbXX,52.818
482,PineappleEx,52.846
483,joncar4,52.855
484,"VIBE
Vex97.TM",52.866
485,Maximumm0,52.868
486,"CMAN
noClutchBill",52.95
487,"VIBE
lcolep04",52.967
488,Icecmec,52.969
489,"NCTM
BSKlLL",52.999
490,run2012abc,53.044
491,Hibachi_Lunch,53.058
492,Not-na,53.065
493,ozzods,53.069
494,TITAN_D2J,53.125
495,"VIBE
Chaosgreg77",53.139
496,saberd_,53.197
497,"VIBE
CrimsonFangTV",53.244
498,UND3Amoe1738,53.253
499,beriezrat,53.254
500,jkolassa,53.278
501,Well_Watch,53.279
502,Huntman1994,53.344
503,TRYz_Mayhem,53.351
504,titans2206,53.382
505,stinkweaselton,53.408
506,hyperwall,53.427
507,zitro.nave,53.434
508,"CAMMO
lit420gamerxd69",53.465
509,Combat5641,53.476
510,usauk96,53.508
511,"VIBE
NRTbeese",53.51
512,Mdjl4,53.511
513,"VIBE
loginzing121",53.533
514,"CAMMO
pieater314",53.592
515,Shadow4killer64,53.662
516,LrdAsmodeous,53.673
517,Piranha-Joe,53.745
